"occupation_id","prior_key","source_id","source_role","prior_score","prior_type","confidence","promotion_status","notes"
"occ_11_1021_00","aioe","src_aioe_2023","benchmark_occupation_prior","0.0000","benchmark_percentile","0.6500","benchmark_only","raw_score=0.574877|group=occupation_exposure"
"occ_11_1021_00","benchmark_mean_percentile","src_benchmark_bundle_2026_03","benchmark_bundle","0.3428","benchmark_bundle","0.9300","benchmark_only","benchmark_only|aioe=true|lm_aioe=true|webb_ai=true|webb_robot=true|webb_software=true|sml=true|gpts_dv_beta=true|gpts_human_beta=true"
"occ_11_1021_00","gpts_dv_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.0167","benchmark_percentile","0.6500","benchmark_only","raw_score=0.000000|group=occupation_exposure"
"occ_11_1021_00","gpts_dv_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.1667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.480769|group=occupation_exposure"
"occ_11_1021_00","gpts_dv_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.6833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.961538|group=occupation_exposure"
"occ_11_1021_00","gpts_human_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.1333","benchmark_percentile","0.6500","benchmark_only","raw_score=0.115385|group=occupation_exposure"
"occ_11_1021_00","gpts_human_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.0667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.384615|group=occupation_exposure"
"occ_11_1021_00","gpts_human_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.0833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.653846|group=occupation_exposure"
"occ_11_1021_00","live_adaptive_capacity","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.6160","adaptation_support","0.6500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=4|labor_resilience=0.35"
"occ_11_1021_00","live_augmentation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.3170","live_augmentation","0.6500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=4|labor_resilience=0.35"
"occ_11_1021_00","live_automation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.2930","live_automation","0.6500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=4|labor_resilience=0.35"
"occ_11_1021_00","live_exposure","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.3270","live_exposure","0.6500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=4|labor_resilience=0.35"
"occ_11_1021_00","lm_aioe","src_aioe_2023","benchmark_occupation_prior","0.0800","benchmark_percentile","0.6500","benchmark_only","raw_score=0.677615|group=occupation_exposure"
"occ_11_1021_00","sml","src_brynjolfsson_mitchell_rock_2018","benchmark_occupation_prior","0.3469","benchmark_percentile","0.6500","benchmark_only","raw_score=2.881311|group=occupation_exposure"
"occ_11_1021_00","webb_ai","src_webb_2020","benchmark_occupation_prior","0.6327","benchmark_percentile","0.6500","benchmark_only","raw_score=68.000000|group=occupation_exposure"
"occ_11_1021_00","webb_robot","src_webb_2020","benchmark_occupation_prior","0.6531","benchmark_percentile","0.6500","benchmark_only","raw_score=26.000000|group=occupation_exposure"
"occ_11_1021_00","webb_software","src_webb_2020","benchmark_occupation_prior","0.7959","benchmark_percentile","0.6500","benchmark_only","raw_score=50.000000|group=occupation_exposure"
"occ_11_2021_00","aioe","src_aioe_2023","benchmark_occupation_prior","0.6600","benchmark_percentile","0.6500","benchmark_only","raw_score=1.315032|group=occupation_exposure"
"occ_11_2021_00","benchmark_mean_percentile","src_benchmark_bundle_2026_03","benchmark_bundle","0.6464","benchmark_bundle","0.9300","benchmark_only","benchmark_only|aioe=true|lm_aioe=true|webb_ai=true|webb_robot=true|webb_software=true|sml=true|gpts_dv_beta=true|gpts_human_beta=true"
"occ_11_2021_00","gpts_dv_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.2667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.062500|group=occupation_exposure"
"occ_11_2021_00","gpts_dv_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.2833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.500000|group=occupation_exposure"
"occ_11_2021_00","gpts_dv_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.4833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.937500|group=occupation_exposure"
"occ_11_2021_00","gpts_human_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.5000","benchmark_percentile","0.6500","benchmark_only","raw_score=0.218750|group=occupation_exposure"
"occ_11_2021_00","gpts_human_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.6667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.578125|group=occupation_exposure"
"occ_11_2021_00","gpts_human_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.8667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.937500|group=occupation_exposure"
"occ_11_2021_00","live_adaptive_capacity","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.6830","adaptation_support","0.6400","active_live","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.47"
"occ_11_2021_00","live_augmentation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.1400","live_augmentation","0.6400","active_live","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.47"
"occ_11_2021_00","live_automation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.1990","live_automation","0.6400","active_live","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.47"
"occ_11_2021_00","live_exposure","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.1410","live_exposure","0.6400","active_live","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.47"
"occ_11_2021_00","lm_aioe","src_aioe_2023","benchmark_occupation_prior","0.5200","benchmark_percentile","0.6500","benchmark_only","raw_score=1.203774|group=occupation_exposure"
"occ_11_2021_00","sml","src_brynjolfsson_mitchell_rock_2018","benchmark_occupation_prior","0.4694","benchmark_percentile","0.6500","benchmark_only","raw_score=2.920572|group=occupation_exposure"
"occ_11_2021_00","webb_ai","src_webb_2020","benchmark_occupation_prior","0.8571","benchmark_percentile","0.6500","benchmark_only","raw_score=82.000000|group=occupation_exposure"
"occ_11_2021_00","webb_robot","src_webb_2020","benchmark_occupation_prior","0.8163","benchmark_percentile","0.6500","benchmark_only","raw_score=37.000000|group=occupation_exposure"
"occ_11_2021_00","webb_software","src_webb_2020","benchmark_occupation_prior","0.8980","benchmark_percentile","0.6500","benchmark_only","raw_score=68.000000|group=occupation_exposure"
"occ_11_2022_00","aioe","src_aioe_2023","benchmark_occupation_prior","0.5400","benchmark_percentile","0.6500","benchmark_only","raw_score=1.266280|group=occupation_exposure"
"occ_11_2022_00","benchmark_mean_percentile","src_benchmark_bundle_2026_03","benchmark_bundle","0.5979","benchmark_bundle","0.9300","benchmark_only","benchmark_only|aioe=true|lm_aioe=true|webb_ai=true|webb_robot=true|webb_software=true|sml=true|gpts_dv_beta=true|gpts_human_beta=true"
"occ_11_2022_00","gpts_dv_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.0333","benchmark_percentile","0.6500","benchmark_only","raw_score=0.000000|group=occupation_exposure"
"occ_11_2022_00","gpts_dv_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.0667","benchmark_percentile","0.6500","benchmark_only","raw_score=0.450000|group=occupation_exposure"
"occ_11_2022_00","gpts_dv_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.2500","benchmark_percentile","0.6500","benchmark_only","raw_score=0.900000|group=occupation_exposure"
"occ_11_2022_00","gpts_human_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.1000","benchmark_percentile","0.6500","benchmark_only","raw_score=0.100000|group=occupation_exposure"
"occ_11_2022_00","gpts_human_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.3333","benchmark_percentile","0.6500","benchmark_only","raw_score=0.483333|group=occupation_exposure"
"occ_11_2022_00","gpts_human_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.7333","benchmark_percentile","0.6500","benchmark_only","raw_score=0.866667|group=occupation_exposure"
"occ_11_2022_00","live_adaptive_capacity","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.6640","adaptation_support","0.7500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.40"
"occ_11_2022_00","live_augmentation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.1930","live_augmentation","0.7500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.40"
"occ_11_2022_00","live_automation","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.3540","live_automation","0.7500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.40"
"occ_11_2022_00","live_exposure","src_v2_launch_aggregate_2026_03","live_task_aggregate","0.2110","live_exposure","0.7500","active_live","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.40"
"occ_11_2022_00","lm_aioe","src_aioe_2023","benchmark_occupation_prior","0.7000","benchmark_percentile","0.6500","benchmark_only","raw_score=1.293821|group=occupation_exposure"
"occ_11_2022_00","sml","src_brynjolfsson_mitchell_rock_2018","benchmark_occupation_prior","0.5510","benchmark_percentile","0.6500","benchmark_only","raw_score=2.944689|group=occupation_exposure"
"occ_11_2022_00","webb_ai","src_webb_2020","benchmark_occupation_prior","0.8367","benchmark_percentile","0.6500","benchmark_only","raw_score=82.000000|group=occupation_exposure"
"occ_11_2022_00","webb_robot","src_webb_2020","benchmark_occupation_prior","0.8367","benchmark_percentile","0.6500","benchmark_only","raw_score=37.000000|group=occupation_exposure"
"occ_11_2022_00","webb_software","src_webb_2020","benchmark_occupation_prior","0.9184","benchmark_percentile","0.6500","benchmark_only","raw_score=68.000000|group=occupation_exposure"
"occ_11_3021_00","aioe","src_aioe_2023","benchmark_occupation_prior","0.2800","benchmark_percentile","0.6500","benchmark_only","raw_score=1.059853|group=occupation_exposure"
"occ_11_3021_00","benchmark_mean_percentile","src_benchmark_bundle_2026_03","benchmark_bundle","0.4511","benchmark_bundle","0.9300","benchmark_only","benchmark_only|aioe=true|lm_aioe=true|webb_ai=true|webb_robot=true|webb_software=true|sml=true|gpts_dv_beta=true|gpts_human_beta=true"
"occ_11_3021_00","gpts_dv_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.4167","benchmark_percentile","0.6500","benchmark_only","raw_score=0.121212|group=occupation_exposure"
"occ_11_3021_00","gpts_dv_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.3833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.530303|group=occupation_exposure"
"occ_11_3021_00","gpts_dv_gamma","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.5167","benchmark_percentile","0.6500","benchmark_only","raw_score=0.939394|group=occupation_exposure"
"occ_11_3021_00","gpts_human_alpha","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.6000","benchmark_percentile","0.6500","benchmark_only","raw_score=0.303030|group=occupation_exposure"
"occ_11_3021_00","gpts_human_beta","src_openai_gpts_are_gpts_2023","benchmark_occupation_prior","0.5833","benchmark_percentile","0.6500","benchmark_only","raw_score=0.560606|group=occupation_exposure"
